School,PNTCNT
Bluford Drew Jemison STEM Academy West,31
Baltimore Community High,1
Elmer A. Henderson: A Johns Hopkins Partnership School,415
Tunbridge Public Charter School,23
Vanguard Collegiate Middle,4
City Neighbors High,4
Green Street Academy,1
Baltimore I.T. Academy,6
Roots and Branches School,722
Monarch Academy Public Charter,71
Baltimore Design School,97
Baltimore Montessori Public Charter Middle School,77
Creative City Public Charter,160
Edmondson-Westside High,3
Northwestern High,2
Baltimore Polytechnic Institute,1
Patterson High,0
Forest Park High,23
Western High,1
Mergenthaler Vocational-Technical High,2
Achievement Academy at Harbor City High,154
Paul Laurence Dunbar High,4
Baltimore School for the Arts,9
Digital Harbor High,7
W.E.B. DuBois High,3
Reginald F. Lewis High,3
National Academy Foundation,11
New Era Academy,21
Heritage High,1
Academy for College and Career Exploration,10
Vivien T. Thomas Medical Arts Academy,278
Augusta Fells Savage Institute of Visual Arts,505
Maritime Industries Academy,4
Coppin Academy,113
Renaissance Academy,87
Frederick Douglass High,14
Carver Vocational-Technical High,64
Baltimore City College,68
,13
2,187
Home and Hospital Program,2
Middle Alternative Program at Lombard,32
Career Academy,9
Success Academy,135
Youth Opportunity,476
Alternative Elementary School,36
Eager Street Academy,88
