,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,lat,long
16,1143 043,1316 VALLEY ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30582559, -76.60541488)",39.30582559,-76.60541488
17,3357F002,4303 EDGEHURST ROAD,WOODBERRY,6.0,NORTHERN,"(39.33987495, -76.65609052)",39.33987495,-76.65609052
18,1138 066,1618 E HOFFMAN ST,OLIVER,12.0,EASTERN,"(39.30667986, -76.5955704)",39.30667986,-76.5955704
19,8393N008,2111 N FOREST PARK AVE,WAKEFIELD,8.0,SOUTHWESTERN,"(39.3107388, -76.70699896)",39.3107388,-76.70699896
20,7364 020,3322 FAIRFIELD ROAD,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23752032, -76.57971493)",39.23752032,-76.57971493
21,2550A019,4501 SCARLET OAK LANE,UPLANDS,8.0,SOUTHWESTERN,"(39.29086387, -76.6920881)",39.29086387,-76.6920881
22,6135B200,3808 STRAWBERRY FIELD LANE,ORCHARD RIDGE,13.0,NORTHEASTERN,"(39.31439607, -76.55971627)",39.31439607,-76.55971627
23,8237 018,3817 HILLSDALE ROAD,HOWARD PARK,5.0,NORTHWESTERN,"(39.33512026, -76.69182815)",39.33512026,-76.69182815
24,6135B214,3905 SINCLAIR LANE,ORCHARD RIDGE,13.0,NORTHEASTERN,"(39.31539924, -76.55856163)",39.31539924,-76.55856163
25,0155 040,1121 W MULBERRY ST,POPPLETON,9.0,WESTERN,"(39.29308881, -76.63619019)",39.29308881,-76.63619019
26,0035 052,1364 N CALHOUN ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30495783, -76.6407169)",39.30495783,-76.6407169
27,2292 016,511 LYNDHURST ST,ALLENDALE,8.0,SOUTHWESTERN,"(39.29295198, -76.68027854)",39.29295198,-76.68027854
28,1099B001,1216 E LAFAYETTE AVE,OLIVER,12.0,EASTERN,"(39.31059798, -76.60182903)",39.31059798,-76.60182903
29,1447 032,1821 E NORTH AVE,BROADWAY EAST,12.0,EASTERN,"(39.31200432, -76.59230132)",39.31200432,-76.59230132
30,3526 109,3364 HICKORY AVE,HAMPDEN,7.0,NORTHERN,"(39.32841388, -76.63309087)",39.32841388,-76.63309087
31,0077 080,0,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29939267, -76.63955843)",39.29939267,-76.63955843
32,8393I001Q,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.31689573, -76.70495188)",39.31689573,-76.70495188
33,0079 033,906 N ARLINGTON AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29973024, -76.63622956)",39.29973024,-76.63622956
34,5394 019,0,HAMILTON HILLS,3.0,NORTHEASTERN,"(39.35266881, -76.56601654)",39.35266881,-76.56601654
35,5895 004,0,ARCADIA,3.0,NORTHEASTERN,"(39.33497908, -76.57154274)",39.33497908,-76.57154274
36,0216 054,1222 HOLLINS ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.2877585, -76.63766003)",39.2877585,-76.63766003
37,7378 010,3619 LEO ST,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23156561, -76.56849838)",39.23156561,-76.56849838
38,4018 025,529 E 21ST ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31334905, -76.60861216)",39.31334905,-76.60861216
39,3675 041B,0,ROLAND PARK,14.0,NORTHERN,"(39.33589708, -76.62774256)",39.33589708,-76.62774256
40,0223 067,2031 BOYD ST,BOYD-BOOTH,9.0,SOUTHWESTERN,"(39.28644055, -76.64956309)",39.28644055,-76.64956309
41,1143 013,1305 HOMEWOOD AVE,JOHNSTON SQUARE,12.0,EASTERN,"(39.30534437, -76.60637771)",39.30534437,-76.60637771
42,5570C082,0,NORTH HARFORD ROAD,2.0,NORTHEASTERN,"(39.36205825, -76.53783412)",39.36205825,-76.53783412
43,0077 076,1314 SMALL ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29975066, -76.63929422)",39.29975066,-76.63929422
44,1142B050,0,JOHNSTON SQUARE,12.0,EASTERN,"(39.3057456, -76.60717515)",39.3057456,-76.60717515
45,0279 059,318 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9.0,SOUTHERN,"(39.28399356, -76.64095366)",39.28399356,-76.64095366
46,0227 004,1809 FREDERICK AVE,CARROLLTON RIDGE,9.0,SOUTHERN,"(39.286906, -76.64578216)",39.286906,-76.64578216
47,0355 034,1743 PARK AVE,BOLTON HILL,11.0,CENTRAL,"(39.31044477, -76.62769483)",39.31044477,-76.62769483
48,8393J050,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.31915845, -76.70565611)",39.31915845,-76.70565611
49,2309 026,1716 N WARWICK AVE,COPPIN HEIGHTS/ASH-CO-EAST,7.0,WESTERN,"(39.30793623, -76.65737376)",39.30793623,-76.65737376
50,1450 076,1801 N DUNCAN ST,BROADWAY EAST,12.0,EASTERN,"(39.31126075, -76.58791878)",39.31126075,-76.58791878
51,0055D065,1110 RIGGS AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30140104, -76.63663686)",39.30140104,-76.63663686
52,8422 020,0,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.30810325, -76.71037537)",39.30810325,-76.71037537
53,0414 002,526 DOLPHIN ST,UPTON,11.0,CENTRAL,"(39.30059695, -76.6292762)",39.30059695,-76.6292762
54,5165 133,0,WINSTON-GOVANS,4.0,NORTHERN,"(39.35196393, -76.60678997)",39.35196393,-76.60678997
55,1483 081,1509 N MADEIRA ST,BROADWAY EAST,13.0,EASTERN,"(39.30831031, -76.58628879)",39.30831031,-76.58628879
56,1567 051A,1900 E EAGER ST,MIDDLE EAST,13.0,EASTERN,"(39.30219713, -76.59047165)",39.30219713,-76.59047165
57,3262A051,0,BURLEITH-LEIGHTON,7.0,NORTHWESTERN,"(39.31976703, -76.66055015)",39.31976703,-76.66055015
58,2880C026,0,FAIRMONT,7.0,SOUTHWESTERN,"(39.3086973, -76.68397848)",39.3086973,-76.68397848
59,1181 064,1007 FORREST ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30180595, -76.60809782)",39.30180595,-76.60809782
60,6126 092,0,LOWER HERRING RUN PARK,2.0,NORTHEASTERN,"(39.31971203, -76.55560111)",39.31971203,-76.55560111
61,5136A045,0,BELVEDERE,4.0,NORTHERN,"(39.36241013, -76.60790843)",39.36241013,-76.60790843
62,2352 070A,0,BRIDGEVIEW/GREENLAWN,9.0,WESTERN,"(39.30018246, -76.65402712)",39.30018246,-76.65402712
63,4171 110,1914 PERLMAN PL,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31311265, -76.58699667)",39.31311265,-76.58699667
64,4092 063,2921 RABES AVE,BETTER WAVERLY,14.0,NORTHERN,"(39.3240156, -76.60426664)",39.3240156,-76.60426664
65,1359 150A,1014 GRANBY ST,JONESTOWN,12.0,SOUTHEASTERN,"(39.28900164, -76.60137294)",39.28900164,-76.60137294
66,0164 065,248 N MOUNT ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29199123, -76.64423919)",39.29199123,-76.64423919
67,0122 039,539 N MOUNT ST,HARLEM PARK,9.0,WESTERN,"(39.29483649, -76.64386164)",39.29483649,-76.64386164
68,1754 110,260 S DURHAM ST,UPPER FELLS POINT,1.0,SOUTHEASTERN,"(39.28802042, -76.5910511)",39.28802042,-76.5910511
69,2951D162A,0,LUCILLE PARK,6.0,NORTHWESTERN,"(39.33914865, -76.6765424)",39.33914865,-76.6765424
70,8207A004,0,WEST ARLINGTON,5.0,NORTHWESTERN,"(39.34090559, -76.69682608)",39.34090559,-76.69682608
71,0122 047,523 N MOUNT ST,HARLEM PARK,9.0,WESTERN,"(39.29448826, -76.6438419)",39.29448826,-76.6438419
72,3814 072,415 E 21 1/2 ST,BARCLAY,12.0,EASTERN,"(39.31388522, -76.61042008)",39.31388522,-76.61042008
73,6694 005A,0,PULASKI INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.28251385, -76.5483363)",39.28251385,-76.5483363
74,5586 006A,4102 E NORTHERN PKWY,OVERLEA,2.0,NORTHEASTERN,"(39.35702476, -76.53051557)",39.35702476,-76.53051557
75,3457 029E,2446 CALLOW AVE,RESERVOIR HILL,7.0,CENTRAL,"(39.31581422, -76.63176984)",39.31581422,-76.63176984
76,6063 006,0,PULASKI INDUSTRIAL AREA,2.0,NORTHEASTERN,"(39.31350543, -76.5433682)",39.31350543,-76.5433682
77,2299A034,0,ALLENDALE,8.0,SOUTHWESTERN,"(39.29120172, -76.6810118)",39.29120172,-76.6810118
78,6042 011C,0,FRANKFORD,2.0,NORTHEASTERN,"(39.33821771, -76.54433599)",39.33821771,-76.54433599
79,0414 063,543 W LAFAYETTE AVE,UPTON,11.0,CENTRAL,"(39.30139817, -76.63103683)",39.30139817,-76.63103683
80,0074 070,929 N VINCENT ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.2996541, -76.64353655)",39.2996541,-76.64353655
81,4.18E+129,0,BELAIR-EDISON,13.0,NORTHEASTERN,"(39.32045853, -76.56597649)",39.32045853,-76.56597649
82,2809 004,3606 CLIFTON AVE,MOUNT HOLLY,7.0,SOUTHWESTERN,"(39.3111218, -76.67872771)",39.3111218,-76.67872771
83,4552 060,5215 FLORENCE AVE,ARLINGTON,5.0,NORTHWESTERN,"(39.34841138, -76.67933022)",39.34841138,-76.67933022
84,7363 015A,1500 CHESAPEAKE AVE,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23644106, -76.58220034)",39.23644106,-76.58220034
85,7477 009,2616 HURON ST,MOUNT WINANS,10.0,SOUTHERN,"(39.26109482, -76.64542695)",39.26109482,-76.64542695
86,6242C021A,5601 ERDMAN AVE,KRESSON,2.0,SOUTHEASTERN,"(39.29938625, -76.55025545)",39.29938625,-76.55025545
87,4812 001,0,PARKLANE,6.0,NORTHERN,"(39.34207891, -76.6648368)",39.34207891,-76.6648368
88,0249 073,117 S STOCKTON ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28606607, -76.63714167)",39.28606607,-76.63714167
89,3390B088,3446 WOODBERRY AVE,WOODBERRY,7.0,NORTHERN,"(39.33076829, -76.64787139)",39.33076829,-76.64787139
90,8393G003,0,WEST FOREST PARK,8.0,NORTHWESTERN,"(39.31884615, -76.70234111)",39.31884615,-76.70234111
91,2734 017,3909 LIBERTY HEIGHTS AVE,CENTRAL FOREST PARK,6.0,NORTHWESTERN,"(39.32741506, -76.68395271)",39.32741506,-76.68395271
92,1138 090,1606 LLEWELYN AVE,OLIVER,12.0,EASTERN,"(39.30704948, -76.59582817)",39.30704948,-76.59582817
93,0062 048,1003 N PARRISH ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30036791, -76.64218553)",39.30036791,-76.64218553
94,0085 052,1712 W LANVALE ST,HARLEM PARK,9.0,WESTERN,"(39.29782766, -76.6447219)",39.29782766,-76.6447219
95,3408 123,2504 SALEM ST,PENN NORTH,7.0,WESTERN,"(39.31252997, -76.64294036)",39.31252997,-76.64294036
96,7796 018,1503 WILMINGTON AVE,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26809635, -76.65735606)",39.26809635,-76.65735606
97,3335 026,2617 SPRINGHILL AVE,PARK CIRCLE,6.0,NORTHWESTERN,"(39.33220401, -76.65980202)",39.33220401,-76.65980202
98,0150 059,1613 SARAH ANN ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29246162, -76.64336366)",39.29246162,-76.64336366
99,1903 003,1500 S CLINTON ST,CANTON INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.27503945, -76.57046483)",39.27503945,-76.57046483
100,0812 001A,1650 S MONROE ST,CARROLL - CAMDEN INDUSTRIAL AREA,10.0,SOUTHERN,"(39.27185587, -76.63948361)",39.27185587,-76.63948361
101,0042 086,1612 RIGGS AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30123019, -76.64387343)",39.30123019,-76.64387343
102,6220 010,7304 HEINLE AVE,PULASKI INDUSTRIAL AREA,2.0,NORTHEASTERN,"(39.31292686, -76.52977932)",39.31292686,-76.52977932
103,PSC0 050,0,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30253973, -76.64355381)",39.30253973,-76.64355381
104,PSC0 050,0,BRIDGEVIEW/GREENLAWN,9.0,WESTERN,"(39.30047674, -76.65063651)",39.30047674,-76.65063651
105,PSC0 050,0,JOHNSTON SQUARE,12.0,EASTERN,"(39.30320095, -76.61102443)",39.30320095,-76.61102443
106,PSC0 050,0,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30249517, -76.64417379)",39.30249517,-76.64417379
107,PSC0 050,0,JOHNSTON SQUARE,12.0,EASTERN,"(39.3056398, -76.61114681)",39.3056398,-76.61114681
108,PSC0 050,0,PENROSE/FAYETTE STREET OUTREACH,9.0,SOUTHWESTERN,"(39.29059905, -76.65769992)",39.29059905,-76.65769992
109,PSC0 050,0,CHARLES NORTH,12.0,CENTRAL,"(39.30742766, -76.61548112)",39.30742766,-76.61548112
110,PSC0 050,0,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30243447, -76.64690784)",39.30243447,-76.64690784
111,0168 052,211 N WOODYEAR ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29142629, -76.63890462)",39.29142629,-76.63890462
112,PSC0 050,0,CARROLL-SOUTH HILTON,9.0,SOUTHWESTERN,"(39.28353245, -76.67013292)",39.28353245,-76.67013292
113,PSC0 050,0,JOHNSTON SQUARE,12.0,EASTERN,"(39.30419853, -76.61108815)",39.30419853,-76.61108815
114,PSC0 050,0,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30243145, -76.64524079)",39.30243145,-76.64524079
115,PSC0 050,0,ORANGEVILLE,13.0,EASTERN,"(39.30003825, -76.5627809)",39.30003825,-76.5627809
116,PSC0 050,0,CHARLES NORTH,12.0,CENTRAL,"(39.30739094, -76.61412672)",39.30739094,-76.61412672
117,1380 099,103 BROAD CT,JONESTOWN,12.0,SOUTHEASTERN,"(39.28930932, -76.6014072)",39.28930932,-76.6014072
118,3190 051,0,TOWANDA-GRANTLEY,6.0,NORTHWESTERN,"(39.33866077, -76.6697472)",39.33866077,-76.6697472
119,1184 058,903 E CHASE ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30261763, -76.60476194)",39.30261763,-76.60476194
120,8186 020,0,BEECHFIELD,8.0,SOUTHWESTERN,"(39.27839051, -76.69754927)",39.27839051,-76.69754927
121,1104 036,1712 GREENMOUNT AVE,GREENMOUNT WEST,12.0,EASTERN,"(39.30961448, -76.60964216)",39.30961448,-76.60964216
122,0150 065,310 N VINCENT ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29258456, -76.64344844)",39.29258456,-76.64344844
123,4114H071,0,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32092059, -76.59860133)",39.32092059,-76.59860133
124,4916D034,0,HOES HEIGHTS,7.0,NORTHERN,"(39.34222653, -76.6380388)",39.34222653,-76.6380388
125,7839 011,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26100216, -76.65491253)",39.26100216,-76.65491253
126,0232 041,1306 W LOMBARD ST,UNION SQUARE,9.0,SOUTHERN,"(39.28676249, -76.63835824)",39.28676249,-76.63835824
127,2309 043,0,COPPIN HEIGHTS/ASH-CO-EAST,7.0,WESTERN,"(39.30801676, -76.65757857)",39.30801676,-76.65757857
128,3608 011,2120 N HOWARD ST,REMINGTON,12.0,NORTHERN,"(39.31371908, -76.61980903)",39.31371908,-76.61980903
129,1180 003,504 E EAGER ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30148003, -76.60884168)",39.30148003,-76.60884168
130,1030 076,1821 MARSHALL ST,SOUTH BALTIMORE,11.0,SOUTHERN,"(39.26876435, -76.61230364)",39.26876435,-76.61230364
131,2750 045,4023 OSKAMP CT,CONCERNED CITIZENS OF FOREST PARK,6.0,NORTHWESTERN,"(39.32270137, -76.68514523)",39.32270137,-76.68514523
132,6333 008,0,PULASKI INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.29579441, -76.55373126)",39.29579441,-76.55373126
133,8257B006,3812 MILFORD AVE,HOWARD PARK,5.0,NORTHWESTERN,"(39.33685358, -76.69733385)",39.33685358,-76.69733385
134,0297 001,2300 PENNSYLVANIA AVE,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30829469, -76.64066388)",39.30829469,-76.64066388
135,4200 004,3406 SHELBURNE ROAD,CROSS COUNTRY,5.0,NORTHWESTERN,"(39.37180956, -76.7064025)",39.37180956,-76.7064025
136,8393I001J,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.3161068, -76.70481317)",39.3161068,-76.70481317
137,4979 070,107 E LAKE AVE,BELLONA-GITTINGS,4.0,NORTHERN,"(39.36835179, -76.62066831)",39.36835179,-76.62066831
138,3262B051,0,BURLEITH-LEIGHTON,7.0,NORTHWESTERN,"(39.31674221, -76.66008898)",39.31674221,-76.66008898
139,7987 004C,0,ROGNEL HEIGHTS,8.0,SOUTHWESTERN,"(39.29638457, -76.68940132)",39.29638457,-76.68940132
140,0359 027,1554 ARGYLE AVE,UPTON,11.0,CENTRAL,"(39.30211143, -76.63499375)",39.30211143,-76.63499375
141,4.78E+32,5410 FALLS ROAD,CROSS KEYS,6.0,NORTHERN,"(39.35935603, -76.64755891)",39.35935603,-76.64755891
142,4018 014,526 E 20TH ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31275894, -76.60867686)",39.31275894,-76.60867686
143,4074B004D,718 E 30TH ST,BETTER WAVERLY,14.0,NORTHERN,"(39.32414652, -76.60648755)",39.32414652,-76.60648755
144,1098 009,1717 ENSOR ST,OLIVER,12.0,EASTERN,"(39.30981339, -76.60379785)",39.30981339,-76.60379785
145,0150 037,317 N MOUNT ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29257524, -76.64374347)",39.29257524,-76.64374347
146,1058 001,150 W DICKMAN ST,SPRING GARDEN INDUSTRIAL AREA,11.0,SOUTHERN,"(39.26456749, -76.61594888)",39.26456749,-76.61594888
147,7566 028,0,CHERRY HILL,10.0,SOUTHERN,"(39.24582926, -76.63740029)",39.24582926,-76.63740029
148,0373 055,624 W LAFAYETTE AVE,UPTON,11.0,CENTRAL,"(39.30029261, -76.63321201)",39.30029261,-76.63321201
149,0276 082,331 S BRUCE ST,NEW SOUTHWEST/MOUNT CLARE,9.0,SOUTHERN,"(39.28351842, -76.64407938)",39.28351842,-76.64407938
150,5263 007,0,CAMERON VILLAGE,4.0,NORTHERN,"(39.35505006, -76.59676735)",39.35505006,-76.59676735
151,1450 088,1825 N DUNCAN ST,BROADWAY EAST,12.0,EASTERN,"(39.31166632, -76.5879431)",39.31166632,-76.5879431
152,4577B037A,5106 BEAUFORT AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34644421, -76.67908822)",39.34644421,-76.67908822
153,5498A002,3025 TAYLOR AVE,NORTH HARFORD ROAD,3.0,NORTHEASTERN,"(39.37188127, -76.54101886)",39.37188127,-76.54101886
154,0902 029,804 PEACH ST,OTTERBEIN,11.0,SOUTHERN,"(39.27993312, -76.617274)",39.27993312,-76.617274
155,5210C173,1330 LIMIT AVE,IDLEWOOD,4.0,NORTHEASTERN,"(39.37199544, -76.58925869)",39.37199544,-76.58925869
156,6202 001A,0,PULASKI INDUSTRIAL AREA,2.0,NORTHEASTERN,"(39.31634969, -76.53288074)",39.31634969,-76.53288074
157,1820 042A,1607 SHAKESPEARE ST,FELLS POINT,1.0,SOUTHEASTERN,"(39.28198966, -76.59454731)",39.28198966,-76.59454731
158,2429 002,3205 W NORTH AVE,ROSEMONT,7.0,SOUTHWESTERN,"(39.30854368, -76.67192502)",39.30854368,-76.67192502
159,6242 023,103 N KRESSON ST,KRESSON,2.0,SOUTHEASTERN,"(39.29439207, -76.5597378)",39.29439207,-76.5597378
160,3301 052,3211 VIRGINIA AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.3434879, -76.67115299)",39.3434879,-76.67115299
161,6019O013,0,FRANKFORD,2.0,NORTHEASTERN,"(39.33724447, -76.53274805)",39.33724447,-76.53274805
162,4066 013,636 SAINT ANNS AVE,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31757159, -76.60547758)",39.31757159,-76.60547758
163,6135B208,4206 ORCHARD RIDGE BLVD,ORCHARD RIDGE,13.0,NORTHEASTERN,"(39.31510104, -76.55873766)",39.31510104,-76.55873766
164,0032 069,1316 N BRUCE ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30371862, -76.64550065)",39.30371862,-76.64550065
165,2218 001,0,PENROSE/FAYETTE STREET OUTREACH,9.0,SOUTHWESTERN,"(39.29296975, -76.66262122)",39.29296975,-76.66262122
166,4215 006,0,CROSS COUNTRY,5.0,NORTHWESTERN,"(39.36895486, -76.70636449)",39.36895486,-76.70636449
167,5434 056,0,HAMILTON HILLS,3.0,NORTHEASTERN,"(39.36080758, -76.5620138)",39.36080758,-76.5620138
168,6050 040,0,FRANKFORD,2.0,NORTHEASTERN,"(39.32297836, -76.53475114)",39.32297836,-76.53475114
169,3804 055,431 HEAVER ST,BARCLAY,12.0,EASTERN,"(39.31193202, -76.60987871)",39.31193202,-76.60987871
170,1143 069,1308 HILLMAN ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30539336, -76.60604674)",39.30539336,-76.60604674
171,7492B026,2911 HURON ST,LAKELAND,10.0,SOUTHERN,"(39.25559744, -76.64840294)",39.25559744,-76.64840294
172,3002 012,3128 W NORTH AVE,WALBROOK,7.0,SOUTHWESTERN,"(39.30924192, -76.67041056)",39.30924192,-76.67041056
173,0126 026,1211 EDMONDSON AVE,HARLEM PARK,9.0,WESTERN,"(39.29524094, -76.63791441)",39.29524094,-76.63791441
174,6770 077,0,GRACELAND PARK,1.0,SOUTHEASTERN,"(39.28081948, -76.53575756)",39.28081948,-76.53575756
175,7900 004B,0,HUNTING RIDGE,8.0,SOUTHWESTERN,"(39.29391885, -76.69405169)",39.29391885,-76.69405169
176,5190 065,0,WILSON PARK,4.0,NORTHERN,"(39.34329207, -76.60238336)",39.34329207,-76.60238336
177,4979 065,0,BELLONA-GITTINGS,4.0,NORTHERN,"(39.36809404, -76.62005732)",39.36809404,-76.62005732
178,0702 004,508 S PULASKI ST,CARROLLTON RIDGE,9.0,SOUTHWESTERN,"(39.28064581, -76.64910018)",39.28064581,-76.64910018
179,0790 124,1210 NANTICOKE ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.27979548, -76.63251404)",39.27979548,-76.63251404
180,4074B005,720 E 30TH ST,BETTER WAVERLY,14.0,NORTHERN,"(39.32409982, -76.60635592)",39.32409982,-76.60635592
181,8223 001B,4319 BELVIEU AVE,WEST ARLINGTON,5.0,NORTHWESTERN,"(39.33942189, -76.69361848)",39.33942189,-76.69361848
182,1451 061,1817 N COLLINGTON AVE,BROADWAY EAST,12.0,EASTERN,"(39.31125998, -76.58718301)",39.31125998,-76.58718301
183,8393J046,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.31879606, -76.70508114)",39.31879606,-76.70508114
184,4171 001,2200 E NORTH AVE,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31271523, -76.58737455)",39.31271523,-76.58737455
185,6345D011,0,PULASKI INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.29547188, -76.52985163)",39.29547188,-76.52985163
186,5089 035,0,LAKE EVESHAM,4.0,NORTHERN,"(39.36511165, -76.61538371)",39.36511165,-76.61538371
187,0338 005,1708 DIVISION ST,UPTON,11.0,CENTRAL,"(39.30440322, -76.63389053)",39.30440322,-76.63389053
188,7445 036,2830 MAISEL ST,WESTPORT,10.0,SOUTHERN,"(39.26105154, -76.63377205)",39.26105154,-76.63377205
189,1342 044,38 N CAROLINE ST,WASHINGTON HILL,12.0,SOUTHEASTERN,"(39.29244408, -76.59747017)",39.29244408,-76.59747017
190,8393J001C,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.31835347, -76.70641797)",39.31835347,-76.70641797
191,1179B018,1012 BRENTWOOD AVE,JOHNSTON SQUARE,12.0,EASTERN,"(39.3017895, -76.60935096)",39.3017895,-76.60935096
192,4778G022A,0,CROSS KEYS,6.0,NORTHERN,"(39.3437766, -76.64065565)",39.3437766,-76.64065565
193,1623 088,702 N BRADFORD ST,MILTON-MONTFORD,13.0,EASTERN,"(39.29916574, -76.58460891)",39.29916574,-76.58460891
194,7804 011A,2415 GEORGETOWN ROAD,MORRELL PARK,10.0,SOUTHWESTERN,"(39.27065151, -76.65472207)",39.27065151,-76.65472207
195,3817 011,200 E 22ND ST,BARCLAY,12.0,NORTHERN,"(39.31457035, -76.61343356)",39.31457035,-76.61343356
196,2500B006C,4050 WILKENS AVE,IRVINGTON,8.0,SOUTHWESTERN,"(39.26837778, -76.68943741)",39.26837778,-76.68943741
197,7475 088,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26166526, -76.6513467)",39.26166526,-76.6513467
198,6871 005A,0,CANTON INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.27325353, -76.55268074)",39.27325353,-76.55268074
199,0452 083E,0,UPTON,11.0,CENTRAL,"(39.29651627, -76.63146902)",39.29651627,-76.63146902
200,3534 120,700 BUNNECKE ST,HAMPDEN,14.0,NORTHERN,"(39.32960436, -76.62838159)",39.32960436,-76.62838159
